"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 10 20:05:25 EET 2022","Mon Jan 10 20:05:26 EET 2022","1522","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:06:32 EET 2022","Mon Jan 10 20:06:37 EET 2022","4673","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:31 EET 2022","Mon Jan 10 20:05:32 EET 2022","927","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:27 EET 2022","Mon Jan 10 20:05:28 EET 2022","923","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:24 EET 2022","Mon Jan 10 20:05:25 EET 2022","906","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:35 EET 2022","Mon Jan 10 20:05:40 EET 2022","5193","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:06:23 EET 2022","Mon Jan 10 20:06:27 EET 2022","4789","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"passed","Mon Jan 10 20:05:07 EET 2022","Mon Jan 10 20:05:19 EET 2022","12021","Gradle suite","Gradle test","newTest","newTest","addNewField","addNewField",""
"failed","Mon Jan 10 20:05:30 EET 2022","Mon Jan 10 20:05:31 EET 2022","884","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:06:04 EET 2022","Mon Jan 10 20:06:08 EET 2022","4538","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:32 EET 2022","Mon Jan 10 20:05:33 EET 2022","1047","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:55 EET 2022","Mon Jan 10 20:05:59 EET 2022","4633","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"passed","Mon Jan 10 20:05:20 EET 2022","Mon Jan 10 20:05:22 EET 2022","2267","Gradle suite","Gradle test","newTest","newTest","verifyCopyingToClipboardFunctionality","verifyCopyingToClipboardFunctionality",""
"failed","Mon Jan 10 20:06:08 EET 2022","Mon Jan 10 20:06:13 EET 2022","4840","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:28 EET 2022","Mon Jan 10 20:05:29 EET 2022","1071","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:50 EET 2022","Mon Jan 10 20:05:55 EET 2022","4610","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:59 EET 2022","Mon Jan 10 20:06:04 EET 2022","4677","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:33 EET 2022","Mon Jan 10 20:05:34 EET 2022","880","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:29 EET 2022","Mon Jan 10 20:05:30 EET 2022","858","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:26 EET 2022","Mon Jan 10 20:05:27 EET 2022","958","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:06:37 EET 2022","Mon Jan 10 20:06:39 EET 2022","1478","Gradle suite","Gradle test","newTest","newTest","verifyThatJsonFieldIsDeleted","verifyThatJsonFieldIsDeleted",""
"failed","Mon Jan 10 20:06:27 EET 2022","Mon Jan 10 20:06:32 EET 2022","4638","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:34 EET 2022","Mon Jan 10 20:05:35 EET 2022","838","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:05:45 EET 2022","Mon Jan 10 20:05:50 EET 2022","4852","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:40 EET 2022","Mon Jan 10 20:05:45 EET 2022","4761","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:06:13 EET 2022","Mon Jan 10 20:06:18 EET 2022","4515","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
"failed","Mon Jan 10 20:05:23 EET 2022","Mon Jan 10 20:05:24 EET 2022","1304","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"passed","Mon Jan 10 20:05:22 EET 2022","Mon Jan 10 20:05:23 EET 2022","463","Gradle suite","Gradle test","newTest","newTest","verifyThatAllFieldLabelsAreVisible","verifyThatAllFieldLabelsAreVisible",""
"failed","Mon Jan 10 20:06:18 EET 2022","Mon Jan 10 20:06:23 EET 2022","4809","Gradle suite","Gradle test","newTest","newTest","verifyThatGeneratedValuesAreNotEmpty","verifyThatGeneratedValuesAreNotEmpty",""
